¿œ∫∞,TOTAL
2010-08-03,80133453.67
2010-08-04,85908550.68
2010-08-05,95896893.79
2010-08-06,97548683.63
2010-08-07,82413058.45
2010-08-08,71741360.94
2010-08-09,99859319.64
2010-08-10,101944135.3
2010-08-11,98210474
2010-08-12,96149826.9
2010-08-13,97236481.61
2010-08-14,80619610.57
2010-08-15,70901888.22
2010-08-16,92533534.69
2010-08-17,96531383.59
2010-08-18,100945669.8
2010-08-19,106443266.8
2010-08-20,109776245.7
2010-08-21,93177766.66
2010-08-22,77521989.58
2010-08-23,104463743.6
2010-08-24,107475741.3
2010-08-25,102396402
2010-08-26,100016330
2010-08-27,106611380.4
2010-08-28,91237227.16
2010-08-29,74208803.82
2010-08-30,101698921
2010-08-31,105448963.9
2010-09-01,99956946.89
2010-09-02,92916148.06
2010-09-03,99080489.07
2010-09-04,87728303.88
2010-09-05,68994185.84
2010-09-06,94257174.47
2010-09-07,95613773.55
2010-09-08,89796052.06
2010-09-09,89650744.16
2010-09-10,89478091.73
2010-09-11,78739609.01
2010-09-12,67469029.38
2010-09-13,88948131.51
2010-09-14,89661335.62
2010-09-15,89021161.53
2010-09-16,89875406.4
2010-09-17,92004190.91
2010-09-18,82918611.41
2010-09-19,71182974.1
2010-09-20,73952072.97
2010-09-21,52483552.85
2010-09-22,35588544.5
2010-09-23,40130662.17
2010-09-24,56704214.55
2010-09-25,61909658.35
2010-09-26,62683013.72
2010-09-27,83926745.79
2010-09-28,85185683.87
2010-09-29,84514682.35
2010-09-30,79900909.75
2010-10-01,77498674.43
2010-10-02,72023527.06
2010-10-03,60728818.38
2010-10-04,75291509.71
2010-10-05,75255628.33
2010-10-06,78398635.12
2010-10-07,79767732.39
2010-10-08,78348774.07
2010-10-09,67280327.9
2010-10-10,59200702.02
2010-10-11,73665474.78
2010-10-12,78911000.29
2010-10-13,78603819.11
2010-10-14,79120623.02
2010-10-15,78426977.8
2010-10-16,68963802.04
2010-10-17,59302918.09
2010-10-18,74232298.57
2010-10-19,80287288.73
2010-10-20,80450129.2
2010-10-21,80038099.3
2010-10-22,79293879.76
2010-10-23,68145481.11
2010-10-24,59954760.24
2010-10-25,74650799.7
2010-10-26,83290053.67
2010-10-27,82820782.21
2010-10-28,85829097.06
2010-10-29,84129228.59
2010-10-30,69110589.26
2010-10-31,59997940.77
2010-11-01,74613554.66
2010-11-02,81340435.42
2010-11-03,82712802.46
2010-11-04,81369033.48
2010-11-05,79462870.67
2010-11-06,66801368.91
2010-11-07,58069344.92
2010-11-08,73194371.57
2010-11-09,83906242.41
2010-11-10,80821773.97
2010-11-11,80046091.95
2010-11-12,80969019.14
2010-11-13,70041145.66
2010-11-14,60039372.5
2010-11-15,80897635.04
2010-11-16,86770025.89
